Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
169.0000,171.2222,171.2222,11.8000,14.0222,14.0222,1.6688,2.3229,2.3229,0.7613,1.4154,1.4154,0
168.7778,163.6667,163.6667,4.6778,-0.4333,-0.4333,2.0777,1.8173,1.8173,0.6729,0.4125,0.4125,1
169.0000,156.4444,156.4444,3.9500,-8.6056,-8.6056,1.8854,0.5840,0.5840,-0.2640,-1.5655,-1.5655,2
177.2222,167.6667,167.6667,14.3722,4.8167,4.8167,3.2945,2.8800,2.8800,2.0132,1.5987,1.5987,3
167.3333,165.5556,165.5556,8.4833,6.7056,6.7056,1.7866,1.8813,1.8813,0.9645,1.0592,1.0592,4
161.0000,157.1111,157.1111,1.5500,-2.3389,-2.3389,1.2202,0.5261,0.5261,0.4396,-0.2545,-0.2545,5
161.2222,159.6667,159.6667,6.6722,5.1167,5.1167,1.4928,2.0252,2.0252,0.6538,1.1862,1.1862,6
158.4444,154.2222,154.2222,0.2444,-3.9778,-3.9778,1.0211,0.3752,0.3752,-0.0073,-0.6531,-0.6531,7
174.3333,166.1111,166.1111,5.6833,-2.5389,-2.5389,3.3216,2.0116,2.0116,0.7891,-0.5208,-0.5208,8
166.7778,157.0000,157.0000,5.9278,-3.8500,-3.8500,1.9539,1.2505,1.2505,0.8616,0.1582,0.1582,9
162.7778,163.5556,163.5556,9.3278,10.1056,10.1056,1.5878,2.7677,2.7677,1.2681,2.4480,2.4480,10
154.7778,152.1111,152.1111,0.6278,-2.0389,-2.0389,-0.6537,0.5540,0.5540,-1.3145,-0.1067,-0.1067,11
159.0000,157.3333,157.3333,3.4500,1.7833,1.7833,0.4984,0.9962,0.9962,0.1487,0.6465,0.6465,12
157.3333,153.7778,153.7778,2.7833,-0.7722,-0.7722,-0.0869,0.4335,0.4335,-0.7439,-0.2236,-0.2236,13
163.2222,168.5556,168.5556,7.1722,12.5056,12.5056,1.2621,2.9094,2.9094,0.6188,2.2661,2.2661,14
157.2222,159.0000,159.0000,3.3722,5.1500,5.1500,0.6729,2.1148,2.1148,0.1358,1.5777,1.5777,15
155.5556,160.0000,160.0000,-1.1444,3.3000,3.3000,0.6500,2.5379,2.5379,-0.1528,1.7351,1.7351,16
165.5556,167.4444,167.4444,10.5056,12.3944,12.3944,2.3245,3.3056,3.3056,1.7513,2.7324,2.7324,17
