Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
188.8889,188.8889,188.8889,5.1389,5.1389,5.1389,2.5154,2.5154,2.5154,0.1350,0.1350,0.1350,0
200.4444,200.4444,200.4444,22.3944,22.3944,22.3944,4.5101,4.5101,4.5101,3.2169,3.2169,3.2169,1
198.2222,198.2222,198.2222,17.0222,17.0222,17.0222,4.6529,4.6529,4.6529,2.4790,2.4790,2.4790,2
205.6667,205.6667,205.6667,28.8667,28.8667,28.8667,5.2042,5.2042,5.2042,3.7562,3.7562,3.7562,3
202.3333,202.3333,202.3333,22.3333,22.3333,22.3333,5.4033,5.4033,5.4033,3.4823,3.4823,3.4823,4
201.2222,201.2222,201.2222,15.1722,15.1722,15.1722,5.1289,5.1289,5.1289,2.6045,2.6045,2.6045,5
208.7778,208.7778,208.7778,23.7278,23.7278,23.7278,6.6102,6.6102,6.6102,4.1380,4.1380,4.1380,6
200.3333,200.3333,200.3333,13.0333,13.0333,13.0333,5.1630,5.1630,5.1630,2.5337,2.5337,2.5337,7
187.5556,187.5556,187.5556,4.0556,4.0556,4.0556,3.2169,3.2169,3.2169,1.1487,1.1487,1.1487,8
200.0000,200.0000,200.0000,15.6500,15.6500,15.6500,4.5389,4.5389,4.5389,2.6533,2.6533,2.6533,9
204.4444,204.4444,204.4444,25.0944,25.0944,25.0944,5.4456,5.4456,5.4456,3.2899,3.2899,3.2899,10
195.5556,195.5556,195.5556,17.6056,17.6056,17.6056,4.5944,4.5944,4.5944,3.3898,3.3898,3.3898,11
189.4444,189.4444,189.4444,18.5444,18.5444,18.5444,3.4450,3.4450,3.4450,2.7621,2.7621,2.7621,12
185.2222,185.2222,185.2222,12.4722,12.4722,12.4722,3.0086,3.0086,3.0086,1.7361,1.7361,1.7361,13
184.7778,184.7778,184.7778,9.1278,9.1278,9.1278,2.7116,2.7116,2.7116,1.3106,1.3106,1.3106,14
184.1111,184.1111,184.1111,9.0111,9.0111,9.0111,3.2710,3.2710,3.2710,1.3279,1.3279,1.3279,15
170.2222,170.2222,170.2222,-0.0778,-0.0778,-0.0778,0.4894,0.4894,0.4894,-0.6456,-0.6456,-0.6456,16
183.7778,183.7778,183.7778,17.5278,17.5278,17.5278,2.9698,2.9698,2.9698,2.0699,2.0699,2.0699,17
180.5556,180.5556,180.5556,10.0056,10.0056,10.0056,1.9491,1.9491,1.9491,1.3456,1.3456,1.3456,18
186.7778,186.7778,186.7778,20.6278,20.6278,20.6278,2.9020,2.9020,2.9020,2.5676,2.5676,2.5676,19
196.1111,196.1111,196.1111,17.1111,17.1111,17.1111,4.5151,4.5151,4.5151,2.7308,2.7308,2.7308,20
