Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
186.6667,187.8889,187.8889,2.1167,3.3389,3.3389,-0.4826,0.4227,0.4227,-0.7348,0.1704,0.1704,0
180.2222,188.1111,188.1111,-3.4778,4.4111,4.4111,-1.5858,-0.9165,-0.9165,-1.0556,-0.3864,-0.3864,1
187.7778,190.4444,190.4444,3.6278,6.2944,6.2944,-0.1307,1.3248,1.3248,0.3093,1.7648,1.7648,2
181.6667,180.0000,180.0000,8.2667,6.6000,6.6000,-1.0209,-0.4955,-0.4955,0.1365,0.6618,0.6618,3
180.3333,179.7778,179.7778,2.0833,1.5278,1.5278,-0.7403,-0.4870,-0.4870,-0.2011,0.0522,0.0522,4
169.4444,175.5556,175.5556,-8.8556,-2.7444,-2.7444,-2.9689,-0.9774,-0.9774,-3.0771,-1.0856,-1.0856,5
167.5556,167.7778,167.7778,-6.2944,-6.0722,-6.0722,-3.3552,-2.1273,-2.1273,-2.5105,-1.2826,-1.2826,6
173.0000,178.3333,178.3333,-2.2500,3.0833,3.0833,-1.2965,-0.2890,-0.2890,-0.8774,0.1301,0.1301,7
181.7778,183.2222,183.2222,6.8278,8.2722,8.2722,-0.3405,1.1692,1.1692,-0.0332,1.4765,1.4765,8
181.5556,182.0000,182.0000,5.7556,6.2000,6.2000,-0.0700,0.4934,0.4934,-0.1279,0.4355,0.4355,9
178.8889,184.6667,184.6667,12.4889,18.2667,18.2667,-0.5624,0.7473,0.7473,1.1346,2.4443,2.4443,10
168.7778,173.5556,173.5556,-3.7222,1.0556,1.0556,-2.4311,-1.0766,-1.0766,-1.8406,-0.4861,-0.4861,11
170.8889,174.8889,174.8889,3.1389,7.1389,7.1389,-1.5964,-0.1971,-0.1971,-1.0332,0.3661,0.3661,12
175.0000,180.0000,180.0000,-1.8500,3.1500,3.1500,-0.5027,0.8925,0.8925,-0.8122,0.5830,0.5830,13
161.7778,168.7778,168.7778,-6.9222,0.0778,0.0778,-3.2261,-1.2919,-1.2919,-2.2078,-0.2735,-0.2735,14
164.5556,165.3333,165.3333,-11.6944,-10.9167,-10.9167,-3.0558,-1.2298,-1.2298,-3.0352,-1.2092,-1.2092,15
166.1111,171.0000,171.0000,-8.4889,-3.6000,-3.6000,-3.0376,-1.2568,-1.2568,-2.8842,-1.1034,-1.1034,16
